enterprise_id,day_date,amount
8749991449499427134,2020-05-31,926.0
8749991449499427134,2020-06-07,25050.41
8749991449499427134,2020-06-14,33036.67
8749991449499427134,2020-06-21,29512.0
8749991449499427134,2020-06-28,21441.22
8749991449499427134,2020-07-05,37782.11
8749991449499427134,2020-07-26,17405.0
8749991449499427134,2020-08-02,46840.29
8749991449499427134,2020-08-09,47913.62
8749991449499427134,2020-08-16,24252.62
8749991449499427134,2020-08-23,28543.13
8749991449499427134,2020-09-06,19323.94
8749991449499427134,2020-09-13,12648.78
8749991449499427134,2020-09-20,9562.85
8749991449499427134,2020-09-27,26500.6
8749991449499427134,2020-10-04,25576.54
8749991449499427134,2020-10-11,13422.35
8749991449499427134,2020-10-18,22431.92
8749991449499427134,2020-10-25,26690.77
8749991449499427134,2020-11-01,34361.32
8749991449499427134,2020-11-23,71434.24
8749991449499427134,2020-11-30,97270.77
2843391753880764310,2022-01-05,945.5
5939772064090608268,2022-01-05,60908.2
2749801908589504162,2022-01-05,2392.62
5176689506753598429,2022-01-05,123246.8
2843391753880764310,2022-01-06,1982.5
2749801908589504162,2022-01-06,1040.6
7260092488379457339,2022-01-06,8765.55
5939772064090608268,2022-01-06,61997.15
8749991449499427134,2020-07-12,19029.12
8749991449499427134,2020-07-19,5680.28
8749991449499427134,2020-08-30,30622.02
8749991449499427134,2020-12-07,67880.56
8749991449499427134,2020-12-14,51803.78
8749991449499427134,2020-12-21,33645.33
8749991449499427134,2020-12-28,38219.15
8749991449499427134,2021-01-04,42173.19
8749991449499427134,2021-01-11,38187.39
8749991449499427134,2021-01-18,25947.52
8749991449499427134,2021-01-25,25100.82
8749991449499427134,2021-02-01,29369.34
8749991449499427134,2021-02-08,20792.99
8749991449499427134,2021-02-15,10465.31
8749991449499427134,2021-02-22,9835.45
8749991449499427134,2021-03-01,8078.68
8749991449499427134,2021-03-08,8847.1
8749991449499427134,2021-03-15,11135.51
8749991449499427134,2021-03-22,5607.61
8749991449499427134,2021-03-29,11600.23
8749991449499427134,2021-04-05,12536.63
8749991449499427134,2021-04-12,7443.74
8749991449499427134,2021-04-19,7892.13
8749991449499427134,2021-04-26,15762.98
8749991449499427134,2021-05-03,17581.22
8749991449499427134,2021-05-10,16481.75
8749991449499427134,2021-05-17,11092.08
8749991449499427134,2021-05-24,13047.07
8749991449499427134,2021-05-31,9077.32
8749991449499427134,2021-06-07,8600.83
8749991449499427134,2021-06-14,8261.46
8749991449499427134,2021-06-21,6400.3
2843391753880764310,2021-12-06,1337.0
5176689506753598429,2021-12-06,229490.0
2843391753880764310,2021-12-07,1717.5
2843391753880764310,2021-12-08,3800.3
5176689506753598429,2021-12-08,222985.0
5176689506753598429,2021-12-07,238220.0
2843391753880764310,2021-12-09,2244.1
2843391753880764310,2021-12-10,1643.4
5176689506753598429,2021-12-10,186150.0
2843391753880764310,2021-12-11,4903.45
2843391753880764310,2021-12-12,2275.5
5176689506753598429,2021-12-12,191780.0
2843391753880764310,2021-12-13,2283.15
5176689506753598429,2021-12-14,202715.0
2843391753880764310,2021-12-15,1359.5
2843391753880764310,2021-12-16,1615.2
5176689506753598429,2021-12-16,173990.0
2843391753880764310,2021-12-17,1940.0
5176689506753598429,2021-12-17,156845.0
2843391753880764310,2021-12-18,896.0
2843391753880764310,2021-12-19,992.0
2843391753880764310,2021-12-20,2432.0
2843391753880764310,2021-12-21,1916.5
5176689506753598429,2021-12-21,163755.0
2843391753880764310,2021-12-22,1952.0
5176689506753598429,2021-12-22,143285.0
2843391753880764310,2021-12-23,1182.6
2843391753880764310,2021-12-24,1625.0
2843391753880764310,2021-12-25,1495.1
5176689506753598429,2021-12-25,132430.0
2843391753880764310,2021-12-26,559.0
5176689506753598429,2021-12-26,106980.0
2843391753880764310,2021-12-27,940.5
5176689506753598429,2021-12-27,107930.0
2843391753880764310,2021-12-28,1182.0
2843391753880764310,2021-12-29,825.0
2843391753880764310,2021-12-30,778.5
2843391753880764310,2021-12-31,703.0
2749801908589504162,2022-01-01,721.99
5176689506753598429,2022-01-01,81710.0
7260092488379457339,2022-01-01,11761.5
5939772064090608268,2022-01-01,145.85
2843391753880764310,2022-01-02,681.5
2749801908589504162,2022-01-02,648.7
5176689506753598429,2022-01-02,102160.0
7260092488379457339,2022-01-02,9058.04
5939772064090608268,2022-01-02,350.5
4406811688481480716,2022-01-02,172915.0
2749801908589504162,2022-01-03,1170.84
5176689506753598429,2022-01-03,134630.0
7260092488379457339,2022-01-03,11888.9
5939772064090608268,2022-01-03,5553.6
4406811688481480716,2022-01-03,202022.0
2843391753880764310,2022-01-04,1354.7
2749801908589504162,2022-01-04,930.18
5939772064090608268,2022-01-04,49173.3
5176689506753598429,2022-01-04,118585.3
4406811688481480716,2022-01-04,237357.47
2843391753880764310,2022-01-08,1753.0
2749801908589504162,2022-01-07,1000.2
7260092488379457339,2022-01-07,7057.25
5939772064090608268,2022-01-07,28215.05
5176689506753598429,2022-01-09,79144.6
2843391753880764310,2022-01-09,1904.0
5176689506753598429,2022-01-08,81247.0
2749801908589504162,2022-01-09,941.06
2749801908589504162,2022-01-08,628.69
