enterprise_id,date,amount,platform,total_funding_amount
8641573576036899873,2022-01-22,750.0,facebook,30000.0
9148671555452718366,2022-01-22,750.0,facebook,32000.0
7541178542874469297,2022-01-22,750.0,facebook,20000.0
2843391753880764310,2022-01-22,750.0,facebook,50000.0
4202267719396131946,2022-01-23,29.74,other,20000.0
2393859298115499884,2022-01-23,500.0,google,15000.0
6071132215378341664,2022-01-23,110.83,other,150000.0
3012411838694922459,2022-02-07,2499.42,stock,50000.0
5822807777852724982,2022-01-24,500.0,google,135000.0
7028414130517003693,2022-01-24,750.0,facebook,25000.0
3012411838694922459,2022-02-07,139.2,stock,50000.0
2749801908589504162,2022-01-26,15322.08,google,55000.0
3012411838694922459,2022-02-07,24.0,stock,50000.0
3012411838694922459,2022-02-07,1972.8,stock,50000.0
3012411838694922459,2022-02-07,9429.43,stock,50000.0
3012411838694922459,2022-02-07,794.4,stock,50000.0
3012411838694922459,2022-02-07,8745.48,stock,50000.0
3012411838694922459,2022-02-07,539.71,stock,50000.0
2796662849897893108,2022-02-07,17140.2,other,100000.0
1962992605310743559,2021-06-22,76.47,facebook,10000.0
8205480647171952080,2022-01-28,10980.49,facebook,30000.0
3012411838694922459,2022-02-07,276.0,stock,50000.0
5196726616391465149,2022-01-25,500.0,google,20000.0
9148671555452718366,2022-01-25,750.0,facebook,32000.0
5822807777852724982,2022-01-25,750.0,facebook,135000.0
6071132215378341664,2022-02-08,100.23,other,150000.0
5196726616391465149,2022-02-08,739.16,facebook,20000.0
3012411838694922459,2022-02-08,1.5,facebook,50000.0
3380802313261167994,2022-02-08,750.0,facebook,30000.0
2843391753880764310,2022-02-08,750.0,facebook,50000.0
3012411838694922459,2022-02-08,2.0,facebook,50000.0
9148671555452718366,2022-02-08,750.0,facebook,32000.0
4506139269766549584,2022-03-10,500.0,google,30000.0
2393859298115499884,2022-01-26,183.21,facebook,15000.0
9148671555452718366,2022-01-26,897.28,pinterest,32000.0
6071132215378341664,2022-01-26,123.29,other,150000.0
4202267719396131946,2022-01-26,54.54,other,20000.0
8641573576036899873,2022-01-26,750.0,facebook,30000.0
5822807777852724982,2022-01-27,500.0,google,135000.0
4202267719396131946,2022-01-27,270.92,google,20000.0
5196726616391465149,2022-01-27,618.68,facebook,20000.0
9148671555452718366,2022-01-27,750.0,facebook,32000.0
2843391753880764310,2022-02-09,284.18,google,50000.0
3012411838694922459,2022-02-09,4.0,facebook,50000.0
5822807777852724982,2022-01-28,750.0,facebook,135000.0
7028414130517003693,2022-01-28,750.0,facebook,25000.0
8641573576036899873,2022-01-28,186.41,facebook,30000.0
6071132215378341664,2022-01-28,114.38,other,150000.0
5822807777852724982,2022-02-09,750.0,facebook,135000.0
5822807777852724982,2022-01-29,80.38,facebook,135000.0
2843391753880764310,2022-01-29,750.0,facebook,50000.0
3380802313261167994,2022-01-29,750.0,facebook,30000.0
7541178542874469297,2021-06-21,750.0,facebook,20000.0
9148671555452718366,2022-01-30,750.0,facebook,32000.0
7541178542874469297,2022-01-30,750.0,facebook,20000.0
6071132215378341664,2022-01-30,106.25,other,150000.0
7186097197009479310,2022-03-11,750.0,facebook,80000.0
3012411838694922459,2022-03-11,150.0,facebook,50000.0
4506139269766549584,2022-03-11,500.0,google,30000.0
2843391753880764310,2022-03-11,750.0,facebook,50000.0
2843391753880764310,2022-02-11,750.0,facebook,50000.0
5822807777852724982,2022-02-11,500.0,google,135000.0
6071132215378341664,2022-02-11,135.22,other,150000.0
3012411838694922459,2022-02-12,500.0,google,50000.0
9148671555452718366,2022-02-12,750.0,facebook,32000.0
3012411838694922459,2022-02-12,9.0,facebook,50000.0
4202267719396131946,2022-03-10,500.0,google,20000.0
8641573576036899873,2022-03-10,750.0,facebook,30000.0
2885603343469762000,2021-06-21,750.0,facebook,40000.0
2843391753880764310,2022-02-13,2.55,facebook,50000.0
8641573576036899873,2022-02-13,750.0,facebook,30000.0
2843391753880764310,2022-02-13,750.0,facebook,50000.0
3380802313261167994,2022-02-13,750.0,facebook,30000.0
7541178542874469297,2022-02-14,115.76,facebook,20000.0
3012411838694922459,2022-02-14,12.0,facebook,50000.0
2393859298115499884,2022-02-14,500.0,google,15000.0
8641573576036899873,2022-02-14,750.0,facebook,30000.0
9148671555452718366,2022-02-14,750.0,facebook,32000.0
3012411838694922459,2022-02-14,6.0,facebook,50000.0
2843391753880764310,2022-02-15,750.0,facebook,50000.0
5822807777852724982,2022-02-15,500.0,google,135000.0
8641573576036899873,2022-02-15,750.0,facebook,30000.0
7260092488379457339,2022-02-21,7806.0,stock,260000.0
7260092488379457339,2022-02-20,10473.43,stock,260000.0
7028414130517003693,2022-03-12,750.0,facebook,25000.0
5822807777852724982,2022-02-16,750.0,facebook,135000.0
2843391753880764310,2022-02-16,500.0,google,50000.0
5196726616391465149,2022-02-16,500.0,google,20000.0
9148671555452718366,2022-02-16,750.0,facebook,32000.0
7186097197009479310,2022-03-12,750.0,facebook,80000.0
3012411838694922459,2022-03-12,500.0,google,50000.0
4506139269766549584,2022-03-12,500.0,google,30000.0
7186097197009479310,2022-03-12,750.0,facebook,80000.0
3012411838694922459,2022-02-16,5579.56,stock,50000.0
7186097197009479310,2022-03-10,750.0,facebook,80000.0
3406105452758170778,2021-06-22,750.0,facebook,35000.0
3012411838694922459,2022-03-13,500.0,google,50000.0
8641573576036899873,2022-03-13,750.0,facebook,30000.0
4506139269766549584,2022-03-13,500.0,google,30000.0
7186097197009479310,2022-03-13,750.0,facebook,80000.0
7186097197009479310,2022-03-13,750.0,facebook,80000.0
4506139269766549584,2022-03-13,500.0,google,30000.0
2843391753880764310,2022-03-13,750.0,facebook,50000.0
4202267719396131946,2022-03-13,750.0,facebook,20000.0
4967883010146339226,2021-05-16,750.0,facebook,20000.0
3380802313261167994,2022-02-17,750.0,facebook,30000.0
5196726616391465149,2022-02-17,750.0,facebook,20000.0
6071132215378341664,2022-02-17,78.77,other,150000.0
2843391753880764310,2022-02-17,750.0,facebook,50000.0
3012411838694922459,2022-02-17,2000.0,google,50000.0
4202267719396131946,2022-03-14,500.0,google,20000.0
7028414130517003693,2022-03-14,750.0,facebook,25000.0
4506139269766549584,2022-03-14,500.0,google,30000.0
6071132215378341664,2022-03-14,61.81,other,150000.0
2749801908589504162,2022-02-28,23459.47,google,55000.0
4506139269766549584,2022-03-14,500.0,google,30000.0
2843391753880764310,2022-03-14,290.74,facebook,50000.0
7186097197009479310,2022-03-14,750.0,facebook,80000.0
5822807777852724982,2022-02-18,500.0,google,135000.0
4202267719396131946,2022-02-18,500.0,google,20000.0
8641573576036899873,2022-02-18,750.0,facebook,30000.0
3012411838694922459,2022-02-18,20.0,facebook,50000.0
7061757587058313983,2022-03-14,38659.5,stock,115000.0
